Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
Pasadena Child Health Foundation,,301 E Colorado Blvd Ste 810,,Pasadena,CA,91101-1994,United States,626-449-4356,,,http://PCHF.ORG,,6180464,50000,2,0
Ronnie James Dio Stand Up and Shout Cancer Fund,"Wendy Dio-Padavona, President/Co-Founder",12400 Ventura Blvd # 837,,Studio City,CA,91604-2406,United States,310-478-5151,,info@diocancerfund.org,http://www.diocancerfund.org,353937,34314,50000,2,0
Shearer-Owen Music Foundation,,15303 Ventura Blvd Ste 1600,,Sherman Oaks,CA,91403-3133,United States,818-793-5730,,,,2886662,100000,50000,2,0
The Uhlmann Foundation,,3801 Longridge Ave,,Sherman Oaks,CA,91423-4921,United States,818-789-5700,,,,,25000,50000,2,0
"University Muslim Medical Association, Inc.",,711 W Florence Ave,,Los Angeles,CA,90044-6105,United States,323-789-5610,323-789-5616,jozaeta@ummaclinic.org,https://ummahealthca.org,16652907,33500,50000,2,0
The Richard H Novak Foundation,,340 Soquel Ave Ste 205,,Santa Cruz,CA,95062-2328,United States,831-325-7264,,,HTTPS://NOVAKFOUND.ORG/,39512,36000,35000,1,0
Rose C Stone Foundation,,PO Box 2667,,San Rafael,CA,94912-2667,United States,415-828-6971,,,,,,35000,1,0
Trem Global Foundation,,20335 Franklin Ave,,Saratoga,CA,95070-4957,United States,408-257-8860,,,,,35000,35000,1,0
Westminster Housing Group I,,1752 N Mar Vista Ave,,Pasadena,CA,91104-1324,United States,626-429-3406,,,,,3426446,35000,1,0
The Stemler Family Foundation,,7 Winged Foot Ln,,Newport Beach,CA,92660-5111,United States,949-717-7668,,,,129026,25000,34900,14,0
William and Karen Lavoie Foundation Inc,,423 Via Mesa Grande,,Redondo Beach,CA,90277-6643,United States,3103788723,,,,2826157,126551,34807,16,0
Lake County Tribal Health Consortium Inc,,925 Bevins Ct,,Lakeport,CA,95453-9754,United States,707-533-2711,,,http://www.lcthc.com,,166722,34775,2,0
John M. & Sally B. Thornton Foundation,,2125 Evergreen St,,San Diego,CA,92106-1618,United States,619-222-9576,,,,,178220,34750,8,0
Matt & Judy Cullen Foundation,,5645 E Sorrento Dr,,Long Beach,CA,90803-3643,United States,5622644110,,,,280227,148367,34750,6,0
Joseph & Ida Liskin Foundation Inc C/o David Liskin,,PO Box 1646,,Carmel By The Sea,CA,93921-1646,United States,831-626-8500,,,,12759,10000,34732,12,0
The Mdbsd Foundation,,7710 Balboa Ave Ste 302,,San Diego,CA,92111-2257,United States,858-775-2880,,,,,164700,34650,8,0
The DigDeep Right to Water Project,"Amanda Ryan-Smith, Chief Development Officer; Digdeep Right To Water Project",110 W 11th St Ste 400a,,Los Angeles,CA,90015-2293,United States,424-285-0773,,development@digdeep.org,http://www.digdeep.org,29522861,819574,34649,3,0
El Portal School Parent Teacher Group,,PO Box 190,,El Portal,CA,95318-0190,United States,209-379-2382,,,http://www.elportalschoolptg.com,371216,92858,34647,1,0
Zodiacaurora Foundation,,63 Butero Ln,,Milpitas,CA,95035-6201,United States,510-314-1396,,,,453854,10046,34633,11,0
Pleasant Hill Rotary Foundation,,PO Box 23117,,Pleasant Hill,CA,94523-0117,United States,925-934-1821,,,,417858,23376,34600,21,0
FOUNDATION FOR LEARNING EQUALITY INC,"Jamie Alexandre, Executive Director; Sumaira Mian, Donor Relations Manager",9700 Gilman Dr PMB 323,,La Jolla,CA,92093-5010,United States,260-337-8253,,jamie@learningequality.org,http://www.learningequality.org,2589784,82515,34584,4,0
Kane Foundation,,2275 E 37th St,,Vernon,CA,90058-1427,United States,323-588-0000,,,,2999344,120500,34500,11,0
The Hing J Lom and Chow K Lom Charitable Trust,,433 Corral De Tierra Rd,,Salinas,CA,93908-8948,United States,831-484-1997,,,,98449,,34500,10,0
Strompolos Family Foundation,,3130 Wilshire Blvd Ste 600,,Santa Monica,CA,90403-2349,United States,310-282-0477,,,,5032427,235500,34500,6,0
Adonai Foundation Inc,,877 Independence Ave,,Mountain View,CA,94043-2331,United States,650-965-9006,,,,4973556,277881,34500,5,0
Oaklandalameda Countyemeryville Firefighters Charity Fund,,369 15th St,,Oakland,CA,94612-3303,United States,510-834-9672,,,,364929,265050,34500,5,0
George & Joanne Woodward Family Foundation C/o Thomas J Wanket CPA,,319 Diablo Rd Ste 208,,Danville,CA,94526-3428,United States,925-820-7660,,,,123019,1290562,34496,41,0
Shugar Magic Foundation,,249 Kent Rd,,Pacifica,CA,94044-3925,United States,650-201-6637,,,,1481582,305000,34490,13,0
Menlo Park Neighbors for Affordable Homes,,400 Capitol Mall Ste 2400,,Sacramento,CA,95814-4428,United States,,,,,,34423,34423,1,0
David a Pfeiffer Memorial Scholarship Fund,,C/O W Alan Pfeiffer 5 Trina Court,,Walnut Creek,CA,94596,United States,925-683-5957,,,,,27333,34333,7,0
Tufenkian Family Foundation,,1333 S Mayflower Ave Ste 200,,Monrovia,CA,91016-5266,United States,626-449-3466,,,,,80000,34300,19,0
Independent Insurance Agents and Brokers of San Diego Inc,,PO Box 712155,,Santee,CA,92072-2155,United States,619-749-5168,,,http://IIABSANDIEGO.COM,66141,20632,34281,5,0
Gruer Family Foundation,,1625 S Durango Ave,,Los Angeles,CA,90035-3326,United States,310-552-1600,,,,99364,73289,34219,10,0
The Tom Pollock Foundation,,11444 W Olympic Blvd Fl 11,,Los Angeles,CA,90064-1500,United States,310-566-1900,,,,586567,33000,34200,13,0
Alan and Donna Schuler Family Foundation,,8551 La Jolla Shores Dr,,La Jolla,CA,92037-3044,United States,858-260-0604,,,,880895,41000,34200,11,0
Aofpacific Affordable Housing Corp,,7755 Center Ave Ste 575,,Huntington Beach,CA,92647-3068,United States,714-799-1339,,,HTTP://WWW.AOFPACIFIC.COM/,81082384,894382,34180,3,0
Brightside Charitable Foundation,,14012 Califa St,,Van Nuys,CA,91401-4314,United States,661-644-1502,,,,,,34176,17,0
Ousd School Pride Inc,,1030 N Lemon St,,Orange,CA,92867-5607,United States,,,,,108378,139039,34153,6,0
Barbara and Morton Bowman Foundation,,918 N Whittier Dr,,Beverly Hills,CA,90210-3014,United States,310-271-9820,,,,881,24850,34144,20,0
Rogers Family Foundation,,PO Box 240,,Camarillo,CA,93011-0240,United States,805-338-4283,,,,1367,1200,34091,28,0
William Ross Family Foundation,,12752 Valley View St Ste E,,Garden Grove,CA,92845-2500,United States,626-485-0392,,,http://WRFFoundation.com,6628,54000,34070,10,0
The Entrekin Foundation,,5 Del Mar Ct,,Orinda,CA,94563-1711,United States,5302775189,,gailentrekin@gmail.com,http://WWW.ENTREKINFOUNDATION.ORG,399708,13463,34020,38,0
Ronald Philip Saturno Foundation,,1972 Yosemite Rd,,Berkeley,CA,94707-1651,United States,415-254-9956,,,,185032,33000,34000,20,0
New Place Fund Inc,,1710 Rose St,,Berkeley,CA,94703-1013,United States,510-393-7981,(510) 883-0928,info@rockwoodfund.org,,1297606,89000,34000,10,0
Matsuhisa Foundation,,1 W Century Dr Unit 30b,,Los Angeles,CA,90067-3412,United States,310-284-7963,,,,89471,13000,34000,5,0
Fritch Family Foundation,,4605 Buena Vista Rd Ste 600 PMB 808,,Bakersfield,CA,93311-8792,United States,661-472-1828,,,,426,,34000,3,0
Captains Foundation,,PO Box 254,,Avalon,CA,90704-0254,United States,310-510-0068,,,,1998854,118500,34000,2,0
Figueroa Corridor Partnership Foundation Inc,,3982 S Figueroa St Ste 207,,Los Angeles,CA,90037-1215,United States,562-243-3389,,,,95535,30155,34000,2,0
J V Lowney Fund,,360 17th St Ste 200,,Oakland,CA,94612-3340,United States,650-851-8694,,,,816808,41000,34000,2,0
Medical Staff of California Pacific Medical Center,,3701 Sacramento St # 172,,San Francisco,CA,94118-1705,United States,571-334-0462,,,,1593806,,34000,2,0
The James L Kim Foundation,,1523 Hidden Valley Rd,,Thousand Oaks,CA,91361-5050,United States,310-432-7400,,,,3100517,307000,34000,1,0
East Fresno Kiwanis Foundation,,PO Box 28537,,Fresno,CA,93729-8537,United States,559-325-9185,,,http://www.eastfresnokiwanis.org,252435,105672,33905,2,0
Auxiliary of Scripps Memorial Hospital Encinitas,"Audrey Oberman, Parliamentarian; Carol Stoll, Vice President; Ellen Mutter, Secretary; Mike Gans, President; Paula Visser, Treasurer; Stephanie Messina, Vice President",354 Santa Fe Dr,,Encinitas,CA,92024-5142,United States,760-633-7834,,,,,56227,33822,1,0
Weisman Foundation,,2373 Pacific Ave,,San Francisco,CA,94115-1241,United States,415-931-0869,,,,1173262,59597,33806,39,0
The Rivinus Family Foundation Inc,,PO Box 694,,Ross,CA,94957-0694,United States,415-533-0300,,,,972915,45500,33800,6,0
Institute for Nonprofit News,Lisa Gardner-Springer,8549 Wilshire Blvd # 2294,,Beverly Hills,CA,90211-3104,United States,213-709-7126,,info@inn.org,http://INN.ORG,7463456,4382907,33800,4,0
Berger Family Foundation,,42 Sun Dance Dr,,Rancho Mirage,CA,92270-3465,United States,310-828-9798,,,,1817353,100260,33790,20,0
Mcintyre Charitable Fund,,313 Fairway Dr,,Novato,CA,94949-5832,United States,415-883-6883,,,,3015,3000,33775,7,0
Free and Accepted Masons Martinez Lodge No 41,,PO Box 2221,,Martinez,CA,94553-0222,United States,,,,,554327,,33718,2,0
The Kraines Family Foundation,,832 Greenway Dr,,Beverly Hills,CA,90210-3006,United States,310-351-9550,,,http://partners.guidestar.org/partner,35707,,33650,12,0
Rotary Club of Fresno,,PO Box 11904,,Fresno,CA,93775-1904,United States,559-519-6260,,,http://fresnorotary.org,546010,61797,33623,5,0
Demar Family Foundation,,9820 Los Lagos Cir N,,Granite Bay,CA,95746-5822,United States,916-660-1495,,,,366800,18111,33601,23,0
Clem C Glass Foundation,,14 Barrier Reef Dr,,Corona Del Mar,CA,92625-1410,United States,949-760-5314,,,,,1114428,33600,22,0
The Suzie S Thorn Family Foundation,,1242 Market St Fl 5,,San Francisco,CA,94102-4814,United States,415-431-5772,,,,731284,36500,33500,14,0
Peter Luce Foundation,,2893 Saint Helena Hwy N,,St Helena,CA,94574-9655,United States,303-955-8507,,,,7171493,307500,33500,7,0
Disabled American Veterans Californ Rehabilitation Foundation,,13733 Rosecrans Ave,,Santa Fe Springs,CA,90670-5026,United States,562-404-1266,,,http://WWW.DAVCAL.ORG,1204560,548237,33500,4,0
The David & Julianna Pyott Foundation,,PO Box 50520,,Irvine,CA,92619-0520,United States,949-388-8691,,,,,1034138,33500,3,0
Mewes-Vann Family Foundation,,1598 University Ave,,San Jose,CA,95126-1641,United States,,,,,,23625,33500,3,0
Driscoll Family Foundation CO Silicon Valley Community Foundation,,2440 W El Camino Real Ste 300,,Mountain View,CA,94040-1498,United States,6504505400,,,,41518782,7374098,33500,2,0
HAYWARD ROTARY CLUB FOUNDATION,,PO Box 629,,Hayward,CA,94543-0629,United States,510-632-,,paulmartin@pmasvcs.com,http://haywardrotary.org,1690022,2300,33500,1,0
Rotary International District 5240,,132 North Ave,,Santa Maria,CA,93455-4714,United States,8059381981,,,http://www.RotaryDistrict5240.org,391239,,33500,1,0
Benjamin and Susan Shapell Foundation Inc,,11900 W Olympic Blvd Ste 640,,Los Angeles,CA,90064-1146,United States,310-273-7337,,,,1592917,87500,33466,8,0
United Way of Imperial County,"Ken Wuytens, Executive Director; Ken Wuytens",2410 Imperial Business Park Dr,,Imperial,CA,92251-4004,United States,760-355-4900,,unitedwayic.ken@att.net,http://unitedwayic.com,1045704,378242,33256,4,0
John and Miki Ford Foundation,,611 Anton Blvd Ste 700,,Costa Mesa,CA,92626-7050,United States,714-939-2303,,,,12088,47893,33250,8,0
Elman Family Foundation,,110 S Rockingham Ave,,Los Angeles,CA,90049-2514,United States,,,,,,56916,33250,6,0
Institute For Education Research And Scholarships,,811 W 7th St Ste 1200,,Los Angeles,CA,90017-3423,United States,323-825-2637,,info@ifers.org,https://www.ifers.org,121428,829964,33054,2,0
Sausalito Art Festival Foundation,,PO Box 10,,Sausalito,CA,94966-0010,United States,415-332-3555,,,http://WWW.SAUSALITOARTFESTIVAL.ORG,1339561,5000,33052,5,0
The Gianturco Family Foundation,,30 Cecily Ln,,Mill Valley,CA,94941-3300,United States,415-389-9849,,,,765629,21511,33050,14,0
Irwindale Educational Foundation,,PO Box 2307,,Irwindale,CA,91706-1168,United States,626-960-6606,,,,,,33015,9,0
The William and Jacqueline Shaw Family Foundation Inc,,2622 Maple Ave,,Manhattan Beach,CA,90266-2326,United States,617-512-7438,,,,2662617,107000,33000,16,0
The Strebl Foundation,,591 Redwood Hwy Frontage Rd Ste 2300,,Mill Valley,CA,94941-6032,United States,415-488-4923,,,,,118000,33000,9,0
The Annie and Ronald F Bennett Family Foundation,,310 S Twin Oaks Valley Rd,,San Marcos,CA,92078-4303,United States,760-799-7785,,,,,36000,33000,6,0
Kwon Fam Foundation Tr,,1015 E Chapman Ave Ste 201,,Fullerton,CA,92831-3845,United States,7145266889,,,,563781,,33000,5,0
Oppenheimer Family Foundation C/o H Oppenheimer,,1064 Rancho Dr,,Ojai,CA,93023-1627,United States,312-943-9484,(312) 943-9472,,,1848651,300615,33000,4,0
Rancho Santa Fe Rotary Foundation Inc,,PO Box 766,,Rancho Santa Fe,CA,92067-0766,United States,,,,,497207,148364,33000,4,0
The Climate Center,"Lois Downy, Chief Financial Officer",1275 4th St # 191,,Santa Rosa,CA,95404-4057,United States,707-525-1665,,lois@theclimatecenter.org,https://theclimatecenter.org/,1138776,59431,33000,2,0
Labib Foundation,,3324 Lynn Oaks Dr,,San Jose,CA,95117-2529,United States,,,,,,63000,33000,2,0
St Helena Public Schools Foundation Endowment Trust,,PO Box 305,,St Helena,CA,94574-0305,United States,707-963-4282,,,http://www.shpsf.org,1619016,,33000,2,0
Good Samaritan Family Resource Center of San Francisco,,1294 Potrero Ave,,San Francisco,CA,94110-3570,United States,415-401-4262,415-824-9527,mariopaz@goodsamfrc.org,http://www.goodsamfrc.org,11617486,,33000,1,0
Spartans Sports Camp Inc,,3535 Truman Ave,,Mountain View,CA,94040-4559,United States,6507936546,,,http://WWW.SPARTANSSPORTSCAMP.COM,17734,81000,33000,1,0
The Morning Star Foundation,,724 Main St,,Woodland,CA,95695-3491,United States,530-666-6600,,,,19430431,195000,32970,7,0
Morgan Hill Kiwanis Youth Fund,,19240 Vista De Lomas,,Morgan Hill,CA,95037-9318,United States,408-828-5362,,,http://morganhillkiwanis.org,,54466,32848,14,0
Gelfand Foundation Inc,,1880 Century Park E Ste 1600,,Los Angeles,CA,90067-1661,United States,310-553-1707,,,,663740,70713,32800,9,0
Bay Area Bicycle Coalition,"Andrew Casteel, Executive Director; Noah Budnick, Chairman; Renee Rivera, Treasurer; Shiloh Ballard, Secretary",96 N 3rd St,,San Jose,CA,95112-7702,United States,408-287-7259,510-2500906,andrew@bayareabikes.org,http://Bayareabikes.org,,112774,32767,2,0
Napa Valley Performing Arts Foundation,,PO Box 5607,,Napa,CA,94581-0607,United States,7072558066,,,,926444,44400,32766,3,0
The John and Mildred Medic Wuchenich Foundation,,248 Grand View Dr,,Redlands,CA,92373-6842,United States,909-798-7122,,,,3388689,128407,32750,4,0
Earl H. and Ethel M. Myers Oceanographic and Marine Biology Trust,,PO Box 3221,,Monterey,CA,93942-3221,United States,4702530563,,myersoceantrust@gmail.com,,1418446,48500,32650,28,0
The De Bont Family Foundation,,11990 San Vicente Blvd Ste 225,,Los Angeles,CA,90049-6615,United States,3102777351,,,,12665,31000,32625,7,0
El Sobrante Boys Club Boosters,,PO Box 20090,,El Sobrante,CA,94820-0090,United States,510-223-5253,,,,,,32618,2,0
Kevah,"Jaimie Baxter, Interim Coo; Sara Bamberger, Executive Director",2736 Bancroft Way,,Berkeley,CA,94704-1719,United States,510-280-5656,,info@kevah.org,http://www.kevah.org,,32608,32608,1,0
LEVINE FAMILY CHARITABLE FOUNDATION,,17604 Tarzana St,,Encino,CA,91316-3743,United States,818-797-5562,,Hjl.mjl@gmail.com,,497908,26028,32590,22,0
Sima Environmental Fund,,C/O Crllp 20351 Irvine Ave C6,,NEWPORT BEACH,CA,92660,United States,949-243-6400,,,http://WWW.SIMA.COM,66768,,32560,3,0
Korean Resource Center Inc,Bethany Leal,900 Crenshaw Blvd Ste B,,Los Angeles,CA,90019-1982,United States,323-937-3718,323-9373526,krcla@krcla.org,http://WWW.KRCLA.ORG,4585776,,32522,1,0
Kirsonis Family Foundation,,6420 Via Escondido Dr,,Malibu,CA,90265-4417,United States,818-849-3690,,,,1925538,117196,32500,27,0
Waterman Family Foundation,,1399 King James Ct,,Oak Park,CA,91377-4738,United States,818-288-6554,,,,2570411,,32500,14,0
"Food Forward, Inc.","Jen Cox, Chief Development Officer",7412 Fulton Ave Ste 3,,North Hollywood,CA,91605-4155,United States,818-764-1022,,jen@foodforward.org,http://foodforward.org,17482876,168489542,,54,0
Food It Forward,"Kathryn Varner, Founder, Director, Educator",3449 Moraga Blvd,,Lafayette,CA,94549-4530,United States,(818) 764-1022,,info@foodforward.org,http://www.foodforward.org,230,,,45,0
Community Outreach Promoting Emergency Preparedness,,22287 Mulholland Hwy Ste 235,,Calabasas,CA,91302-5157,United States,,,,http://WWW.COPE-PREPAREDNESS.ORG,423892,9577144,,35,0
ALAMEDA COUNTY COMMUNITY FOOD BANK,,7900 Edgewater Dr,,Oakland,CA,94621-2004,United States,510-635-3663,510-635-3773,jforozco@accfb.org,http://www.accfb.org,88414527,86045509,,20,0
Hollywood Food Coalition,Linda Pianigiani,5939 Hollywood Blvd,,Los Angeles,CA,90028-5409,United States,818-568-4050,,linda.pianigiani@hofoco.org,http://www.hofoco.org,2584695,5199236,,20,0
The Molina Foundation,"Kimberly Anderson, Vp Of Human Resources And Accounting; Rachael Orose, Vice President, Network And Business Development",PO Box 2677,,Los Alamitos,CA,90720-7677,United States,310-375-6813,562-724-9000,kimberly.anderson@molinafoundation.org,http://WWW.MOLINAFOUNDATION.ORG,17494870,7318879,,16,0
"Food Finders, Inc.","Diana Lara, Executive Director; Lisa Hoffmaster, Fund Development Director",10539 Humbolt St,,Los Alamitos,CA,90720-5401,United States,562-283-1400,562-283-1403,dlara@FoodFinders.org,http://www.foodfinders.org,1574192,31673655,,14,0
Human-I-T,,4941 Eastern Ave,,Bell,CA,90201-6301,United States,888-268-3921,,grants@human-i-t.org,http://human-i-t.org/,16897978,4938467,,12,0
"Vitamin Angel Alliance, Inc.","Amanda Wilson, Senior Director Of Finance & Accounting; Daniel Zorub, Manager Of Philanthropic Partnerships",6500 Hollister Ave Ste 130,,Goleta,CA,93117-5556,United States,888-615-4123,(805) 564-8499,awilson@vitaminangels.org,http://www.vitaminangels.org,99124655,120061835,,10,0
Gary and Mary West Health Institute,,10350 N Torrey Pines Rd,,La Jolla,CA,92037-1020,United States,858-535-7000,,,http://WWW.WESTHEALTH.ORG,15616066,6893,,8,0
Mr. Holland's Opus Foundation,,2550 N Hollywood Way Ste 302,,Burbank,CA,91505-5049,United States,818-762-4328,(818) 643-2463,felice@mhopus.org,https://mhopus.org/,6917213,836694,,8,0
Technology Training Foundation of America,,10755 Scripps Poway Pkwy # F-705,,San Diego,CA,92131-3924,United States,858-547-3992,,,HTTP://COMPUTERS2LEARNBY.COM,9468,103886,,8,0
Associated Students California State University San Bernardino,,5500 University Pkwy,,San Bernardino,CA,92407-2318,United States,909-537-5932,,,http://WWW.CSUSB.EDU/ASI,2583394,284847,,7,0
Molina Bernadett Family Foundation Inc,,PO Box 2677,,Los Alamitos,CA,90720-7677,United States,562-446-2999,,,,,,,7,0
Children's Hunger Fund,,13931 Balboa Blvd,,Rancho Cascades,CA,91342-1084,United States,800-708-7589,818-979-7101,mrichards@childrenshungerfund.org,http://www.childrenshungerfund.org,39426463,119549169,,6,0
Fort Mason Center,"Mike Buhler, President & Ceo; Rose Trulin, Administrative And Development Manager",2 Marina Blvd Bldg C260,,San Francisco,CA,94123-1284,United States,415-345-7500,,contact@fortmason.org,http://WWW.FORTMASON.ORG,73496517,512103,,6,0
Girl Scouts of Greater Los Angeles,,423 N La Brea Ave,,Inglewood,CA,90302-3408,United States,213-213-0123,,mmejia@girlscoutsla.org,http://www.girlscoutsla.org,63743444,730476,,6,0
North Peninsula Jewish Campus,,800 Foster City Blvd,,Foster City,CA,94404-2228,United States,650-378-2756,,,http://WWW.JEWISHCAMPUS.ORG,27515033,506927,,6,0
Kids Charities,"Mallory Roseborough, Administrative Assistant; Yvette Emard, Director",554 W Lancaster Blvd,,Lancaster,CA,93534-2534,United States,661-810-0561,,yvette@communities-for-christ.org,http://www.kids-charities.org/,69248,,,5,0
Family Assistance Ministries,,1000 Calle Cordillera,,San Clemente,CA,92673-6235,United States,949-492-8477,949-492-8081,info@family-assistance.org,http://www.family-assistance.org,5705403,5621353,,4,0
Health Champions,,C/O Zimmer 6345 Balboa Blvd No 375,,ENCINO,CA,91316,United States,818-401-4903,,,,,,,4,0
Stanton University,,888 S Disneyland Dr,,Anaheim,CA,92802-1847,United States,714-539-6561,,,,123573,,,4,0
We Achieve Education Foundation Inc,,3828 W Caldwell Ave,,Visalia,CA,93277-9238,United States,5597349000,,,,30828,,,4,0
Blueprint,"Michele Wray Khateri, Director Of Fundraising & Strategic Iniatiatives",600 Wilshire Blvd Ste 200,,Los Angeles,CA,90017-3214,United States,213-542-4700,213-542-4701,michelekhateri@pacificcharter.org,https://blueprintfutures.org/,103218587,,,3,0
Escondido Rotary Foundation,Debbi Stanley; Mike Freet,PO Box 1822,,Escondido,CA,92033-1822,United States,760-580-7576,,mfreet@cox.net,https://www.escondidorotary.org/foundations,679812,64023,,3,0
MEND,"Chanya Blumenkrantz, Chief Development Officer; Janet Marinaccio, President/Ceo",10641 San Fernando Rd,,Pacoima,CA,91331-2626,United States,818-897-2443,818-896-0246,janet@mendpoverty.org,http://www.mendpoverty.org,12189488,7940065,,3,0
One Thousand Cranes Foundation a Birds Eye View,,2506 Almaden Ct,,Los Angeles,CA,90077-2520,United States,630-390-1140,,,http://1TCF.ORG,5082,39600,,3,0
Schmahl Science Workshops Inc,,1650 Senter Rd,,San Jose,CA,95112-2599,United States,408-281-7595,4086245367,info@schmahlscience.org,http://WWW.SCHMAHLSCIENCE.ORG,565890,,,3,0
Convalescent Aid Society,"Deborah Lewis, Development Coordinator; Mark Waterson, Executive Director",3255 E Foothill Blvd,,Pasadena,CA,91107-3110,United States,626-793-1696,,mark@cas1.org,http://www.convalescentaidsociety.com,8397271,77047,,2,0
Hands Across the Valley Inc C/o Ganze Tax & Consulting,,1500 Third St Ste C,,Napa,CA,94559-2866,United States,707-226-6136,,,http://WWW.HANDSACROSSTHEVALLEY.COM,445961,210250,,2,0
San Diego Futures Foundation,"Kevin Morningstar, Acting Executive Director; Teresa Valenzuela, Community Outreach Manager",4283 El Cajon Blvd Ste 220,,San Diego,CA,92105-1289,United States,619-391-0050,619-269-3471,kevin@sdfutures.org,https://sdfutures.org/,4510558,435857,,2,0
San Mateo County Deputy Sheriffs Association,,2421 Broadway St,,Redwood City,CA,94063-1515,United States,650-261-1081,,,http://www.MyDSA.com,3262236,15229,,2,0
Ucsd Alumni Association,,Price Center East Level 3 Mc0083,,La Jolla,CA,92093-0001,United States,858-534-3900,,alumni@ucsd.edu,http://WWW.ALUMNI.USD.EDU,,97536,,2,0
Charles Armstrong School,"Cynthia Wolfe Funai, Development Director",1405 Solana Dr,,Belmont,CA,94002-3653,United States,650-592-0780,650-,cwolfefunai@charlesarmstrong.org,http://WWW.CHARLESARMSTRONG.ORG,29715082,2000446,,0,0
Cradle to Cradle Products Innovation Institute Inc,,475 14th St,,Oakland,CA,94612-1928,United States,415-816-7087,,,http://www.c2ccertified.org,4282567,,,0,0
Crescent Montessori School Inc,,276 E Napa St,,Sonoma,CA,95476-6721,United States,707-996-2456,,,http://WWW.CRESCENTMONTESSORI.COM,232987,,,0,0
Cusd Foundation Inc,"Enzo Scognamiglio, Gen Board Di; Jeff Montejano, Vice Preside; Joon Lopez, Gen Board Di; Larney Fowler, President; Laval Brewer, Secretary; Malinda Goller, Treasurer; Noel Jover, Gen Board Di; Paul Simonds, Gen Board Di; Susie Caskey, Gen Board Di",33122 Valle Rd,,San Juan Capistrano,CA,92675-4853,United States,949-234-9570,,,http://WWW.CUSDFOUNDATION.ORG,97770,,,0,0
The Disc Foundation,,3501 Jamboree Rd Ste 1250,,Newport Beach,CA,92660-2959,United States,949-988-7800,,,http://www.thediscfoundation.com,177480,10400,,0,0
Emanate Health,,140 W College St,,Covina,CA,91723-2007,United States,626-331-7331,,,http://WWW.EMANATEHEALTH.ORG,104351766,,,0,0
Fresno Community Hospitaland Medical Center,,789 N Medical Center Drive East,,Clovis,CA,93611,United States,5594596000,,,http://www.communitymedical.org,1868955124,15921812,,0,0
Getty House Foundation,,605 S Irving Blvd,,Los Angeles,CA,90005-3608,United States,3239306430,,info@gettyhouse.org,HTTPS://GETTYHOUSE.ORG/,397577,,,0,0
The Guitar Center Music Foundation,"Myka Miller, Executive Director",PO Box 6185,,Westlake Village,CA,91359-6185,United States,818-706-8742,818-706-8745,info@guitarcenterfoundation.org,http://WWW.GUITARCENTERFOUNDATION.ORG,307951,534896,,0,0
Heart of Los Angeles Inc,"Brooke Lykins, Deputy Director; Tony Brown, Chief Executive Officer",2701 Wilshire Blvd Ste 100,,Los Angeles,CA,90057-3231,United States,213-389-1148,213-389-1085,tbrown@heartofla.org,http://www.heartofla.org,25790628,1198600,,0,0
Human-I-T,,130 Pine Ave Ste 200,,Long Beach,CA,90802-4485,United States,(562) 259-7747,,,http://www.human-i-t.org,953210,378336,,0,0
Junior League of Orange County Ca,,5140 Campus Dr,,Newport Beach,CA,92660-2101,United States,9492610823,,info@jlocc.org,http://WWW.JLOCC.ORG,1294023,,,0,0
NESsT,"Anamaria Pelegrini; Dana Kuffa, Development Associate",2323 Broadway,,Oakland,CA,94612-2414,United States,510-501-5285,(815) 846-1775,apelegrini@nesst.org,http://www.nesst.org,11908162,353492,,0,0
Operation Samahan Inc,,1428 Highland Ave,,National City,CA,91950-4624,United States,619-477-4451,619-474-4008,info@operationsamahan.org,http://WWW.OPERATIONSAMAHAN.ORG,16171694,,,0,0
Petersen Automotive Museum Foundation,Sandra Landicho,6060 Wilshire Blvd,,Los Angeles,CA,90036-3605,United States,323-930-2277,,slandicho@petersen.org,http://WWW.PETERSEN.ORG,220712649,3946,,0,0
Piedmont Middle School Parents Club,,401 Highland Ave,,Piedmont,CA,94611-4025,United States,510-653-1816,,,,101596,39450,,0,0
Plasticfreerestaurants.org,,1988 El Arbolita Dr,,Glendale,CA,91208-1800,United States,213-590-4882,,contact@plasticfreerestaurants.org,https://www.plasticfreerestaurants.org/,158809,26143,,0,0
PTA California Congress of Parents Teachers & Students Inc,,11254 Gothic Ave,,Granada Hills,CA,91344-3709,United States,000-000-0000,,,,23711,6530,,0,0
Rebuilding Together Long Beach,"Amanda Ruiz, President",3515 Linden Ave # 43,,Long Beach,CA,90807-4519,United States,323-496-2285,,mruiz@rtlb.org,http://WWW.REBUILDINGTOGETHERLONGBEACH.ORG,276415,,,0,0
San Diego County Medical Society Foundation,"Adama Dyoniziak, Executive Director",4699 Murphy Canyon Rd Ste 102,,San Diego,CA,92123-4397,United States,858-300-2780,(858) 569-1334,foundation@sdcms.org,http://CHAMPIONSFORHEALTH.ORG,2491214,,,0,0
San Jose Canaan Taiwanese Christian Foundation,,7027 Brooktree Way,,San Jose,CA,95120-2102,United States,408-497-2148,,,,6534010,110000,,0,0
Santa Maria Elementary Education Assoc,,2325 Skyway Dr Ste A,,Santa Maria,CA,93455-1137,United States,805-922-6000,,,,189480,36833,,0,0
Siloh Movement,,3578 Helms Ave,,Culver City,CA,90232-2415,United States,310-836-0726,,,,,,,0,0
